"Mutual_Information","Mira_Score","Mean_Distance","Brownian_Covariate","GO"
0.0304185009261057,0.0437151523232244,0.000366603288348048,0.000253983877126439,"GO:0046677"
0.39603467872828,0.348685443508079,0.834617648521464,0.8443786733859,"GO:0050906"
0.207748936358826,0.219543588288949,0.372369031371895,0.416670599398134,"GO:0006836"
0.010324622262306,0.0219204615433676,0.00834665354683205,0.0229295333163499,"GO:0006869"
0.0138810083509244,0.0130025495257436,0.00910376336848657,0.00865256369692514,"GO:0008643"
0.920089612262605,0.847866958151523,0.334111397520696,0.362288944692214,"GO:0015850"
0.100598713585108,0.202731436319102,0.367713268649496,0.268164365443889,"GO:0051180"
0.512337680810425,0.511004881647459,0.39870800664659,0.397493575886078,"GO:0051181"
0.862486990774958,0.786320734052738,0.807265217025276,0.805668629555039,"GO:0070633"
0.00184723179007655,0.0011985398016278,0.00617223333701516,0.00503756472663999,"GO:0009615"
0.233303404884375,0.240660925266726,0.851338223674884,0.792547326736663,"GO:0009620"
0.136807876355747,0.145827722315294,0.331891772143382,0.360997149405578,"GO:0008217"
0.00166721303257004,0.00468329834948684,0.00180359992081918,0.00179931999897975,"GO:0008360"
0.00279970728439732,0.000356903862911692,0.0302388749972352,0.034719163975321,"GO:0031647"
0.0008916627668659,0.00157890517666748,4.19537915236529e-05,0.000413807842982143,"GO:0008203"
0.0824588787951607,0.167043832386399,0.109616102745956,0.0643111465217313,"GO:0006020"
0.219990518913169,0.183122414380823,0.0035327047905096,0.00165588268120147,"GO:0009225"
0.000254743543815726,0.000942579883829756,0.0110254346890639,0.00559688140898871,"GO:0006809"
0.779975881762451,0.821055100117219,0.238459471919842,0.269828917064673,"GO:0031330"
0.00278666582659453,0.00220450518852075,0.0876249319045038,0.11090256487623,"GO:0031331"
0.343844888971286,0.474200714621427,0.469968932109269,0.460949940854478,"GO:0044275"
0.0624852283666728,0.0470512905524843,0.554756308907805,0.494982452053197,"GO:0006914"
0.305101066906609,0.347931116869035,0.240992467539991,0.271652146290229,"GO:0019439"
0.000262888760650763,0.00106797358985815,0.00248173708310967,0.00214854265247293,"GO:0046700"
0.053911001203269,0.0845103412346764,0.0016749010752476,0.00380248705230027,"GO:0006633"
0.00143155568273145,0.0141856403300535,0.000730715623069156,0.000164823052112424,"GO:0006694"
0.665550461295837,0.759416849653843,0.000169206893294254,0.000970905392600105,"GO:0008299"
0.251639694089423,0.28366215907268,0.279621753329641,0.152731974278067,"GO:0008654"
0.674329604226491,0.515639183646895,0.746430086100346,0.689734320120315,"GO:0046889"
0.0747059225994548,0.0375071509785387,0.0461475951644063,0.0407987483484825,"GO:0051055"
0.104974542407531,0.0798050633265095,0.0899127018013316,0.112702109418419,"GO:0032964"
0.108109031526441,0.181690409710273,0.121757256441605,0.121138284216819,"GO:0043255"
0.0169912975760482,0.00731990736010711,0.547477684476087,0.660980386736727,"GO:0045923"
0.500012148184413,0.280752079181238,0.506357831202698,0.463845432096829,"GO:0045940"
0.0583686848381522,0.0529356329740555,0.0204330168207221,0.036378258778107,"GO:0046320"
0.77265140518886,0.850424721541784,0.230723505492606,0.301546318758625,"GO:0006684"
0.179235211782481,0.173902709203104,0.12540209464945,0.162039937711172,"GO:0020027"
0.582893770286545,0.495792265248629,0.640697560127434,0.714501067838868,"GO:0030574"
0.000374580706522394,0.000530554895285222,0.00687817546536276,0.00795332375093206,"GO:0006096"
0.967629889128153,0.955475128167154,0.64890272041176,0.631136745348245,"GO:0009072"
0.208482541940134,0.264780476592706,0.0437614654296294,0.0403820107002425,"GO:0006486"
0.14034698602104,0.0579710008288762,0.686245608955516,0.716372421128994,"GO:0006547"
0.048734498236264,0.0254072979046217,0.50604022821605,0.575917307631652,"GO:0042375"
0.168054893965931,0.154238399222271,0.378473460148001,0.367848474126555,"GO:0009311"
0.026522474158321,0.0118536445082027,0.289967216170039,0.357779032153206,"GO:0043029"
0.115556437681461,0.0913211359595184,0.0906144440432218,0.0979141541335989,"GO:0002444"
0.0937961320712229,0.0920951880781239,0.00456556473925609,0.00534053441515425,"GO:0048536"
0.375424434282504,0.332847402178518,0.504324601963715,0.543040052866095,"GO:0048538"
0.510322274751693,0.440526304536507,0.19133587063672,0.218640634160481,"GO:0045638"
0.12768476082924,0.0861186905325227,0.106903666035143,0.186405960348716,"GO:0045639"
0.100071590052248,0.0672153790404187,0.0588823249798502,0.0659311565481498,"GO:0030101"
0.337367712366488,0.415561222703506,0.529524472474142,0.395486736475991,"GO:0006888"
0.254034554732713,0.264972829947581,0.494679556600192,0.53998266820673,"GO:0006890"
0.0522840252774633,0.0503775540045757,0.968445634012609,0.967514201265273,"GO:0006891"
0.0042596351615835,0.00816642564609426,0.128987315405247,0.117367752707933,"GO:0006892"
0.015177616726962,0.0164825845457065,0.145909532755356,0.184908228595479,"GO:0007157"
0.482709901600116,0.38291183776759,0.777450081553319,0.793005893293246,"GO:0007156"
0.000225362445944106,0.000296156727742794,0.0383050979254509,0.114046490286717,"GO:0007159"
0.375387495972117,0.426463926294896,0.0774645498935635,0.0834008024402227,"GO:0016339"
0.275842944894865,0.172773759981935,0.963272649252784,0.9797150112444,"GO:0016338"
3.75403036750607e-06,3.93519019644048e-06,0.0588543794955807,0.0412996775304687,"GO:0022407"
0.0554325997081935,0.0552390760451997,0.394116106406049,0.382812971790182,"GO:0007160"
0.367702220407107,0.286055531464211,0.136891595085718,0.0731362646493783,"GO:0030336"
0.015813894206033,0.0141568499488717,0.413295507438646,0.425669660361732,"GO:0030335"
0.0377513335052318,0.0674095419578305,0.0640961052453917,0.111568720575241,"GO:0033044"
0.0042436465489903,0.00600537389826764,0.00856706512452498,0.00711715720136269,"GO:0051495"
0.0477739517557631,0.0479843809520183,0.0319659012710621,0.0100416171677623,"GO:0007040"
0.475087174721311,0.489129989729859,0.662005338779503,0.623863571066843,"GO:0001578"
0.436025170124383,0.388691245823479,0.0689394604788337,0.0574994746317467,"GO:0007051"
0.00276062327844037,0.00470050663129404,0.0290150098028752,0.0397355539218231,"GO:0000079"
0.00187895847715885,0.00441603797902466,0.0428033354097946,0.0416227657900786,"GO:0009968"
0.0104242831376847,0.0200630160246128,0.324011105312396,0.292322930006819,"GO:0007268"
0.0105303749647523,0.0281417879963227,0.0820029609420354,0.0734757539373879,"GO:0042552"
0.250545004145826,0.282604551479515,0.204192012736443,0.163458453233261,"GO:0048660"
0.0139821491997628,0.00905122411057369,0.216468151553912,0.201622413912443,"GO:0007067"
0.0163045350921577,0.0169562085752149,0.0464302237344729,0.085796648052024,"GO:0007126"
0.066549778320922,0.0836386656404442,0.0189959348758494,0.0208887687981901,"GO:0051436"
